Catalogue No.,Lot Number,Artist Name 1,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Auction House,Sale Location,Coordinates,Lugt Number
Br-4685,0004[b],[ANONYMOUS] (Unknown),"Whitbread's Brewery; Lambeth; and the Adelphi, by D. Turner; and a fish-woman (THIS LOT:  Lambeth, and a fish-woman; lots 4[a] by James Ward & 4[c] by D. Turner)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 1.9 pounds for lots 4[a-c]",Fuller; from catalog: Fuller,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0004[c],"TURNER, DANIEL (British)","Whitbread's Brewery; Lambeth; and the Adelphi, by D. Turner; and a fish-woman (THIS LOT:  The Adelphi; lots 4[a] by James Ward & 4[b] by Anonymous)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 1.9 pounds for lots 4[a-c]",Fuller; from catalog: Fuller,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0035[a],"SINGLETON, HENRY (British)",The rainbow; and a woman plucking poultry (THIS LOT:  The rainbow; lot 35[b] by J. Barney),,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 2.2 pounds for lots 35[a] & 35[b]",Prowett; from catalog: Prowett,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0035[b],"BARNEY, JOSEPH (British)",The rainbow; and a woman plucking poultry (THIS LOT:  A woman plucking poultry; lot 35[a] by H. Singleton),,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 2.2 pounds for lots 35[a] & 35[b]",Prowett; from catalog: Prowett,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0036[a],"NEER, AERT VAN DER (Dutch)","A river-scene -- moonlight; and a woman milking a cow, after Towne (THIS LOT:  A river-scene -- moonlight; lot 36[b] is copy after Chas. Towne)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 1.5 pounds for lots 36[a] & 36[b]",Prowett; from catalog: Prowett,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0036[b],"TOWNE, CHARLES (British), copy after","A river-scene -- moonlight; and a woman milking a cow, after Towne (THIS LOT:  A woman milking a cow; lot 36[a] by A, Neer)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 1.5 pounds for lots 36[a] & 36[b]",Prowett; from catalog: Prowett,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0059[a],"MIERIS (Dutch), copy after","A fish-woman, after; and fruit (THIS LOT:  A fish-woman; lot 59[b] by Anonymous)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 2.2 pounds for lots 59[a] & 59[b]",Turner; from catalog: Turner,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4685,0059[b],[ANONYMOUS] (Unknown),"A fish-woman, after; and fruit (THIS LOT:  Fruit; lot 59[a] is copy after Mieris)",,Painting,,,"Pepys, Edward; from catalog: Edward Pepys Esq","Sold, 2.2 pounds for lots 59[a] & 59[b]",Turner; from catalog: Turner,,,,,,,1836 Dec 10,Christie's,"London, England","51.5074, 0.1278",14518
Br-4688,13,"BEGA, CORNELIS PIETERSZ. (Dutch)",Head of an old woman,,Painting,,,"Humble, John; from catalog: Humble","Sold, 0.12 pounds",Foster; from catalog: Foster,,,,,,,1836 Dec 17,Christie's,"London, England","51.5074, 0.1278",14528
Br-4688,32,"SCHALCKEN, GODFRIED (Dutch)",An old woman with a candle,,Painting,,,Bendixen; from catalog: Bendixen,Passed,,,,,,,,1836 Dec 17,Christie's,"London, England","51.5074, 0.1278",14528
Br-4688,44,"CRAESBEECK, JOOS VAN (Flemish)","An exterior, with a woman playing the pipe, and other figures",,Painting,,,Rotterdam; from catalog: Rotterdam,"Sold, 4.0 pounds","Blaker, Elfred; from catalog: Blaker",,,,,,,1836 Dec 17,Christie's,"London, England","51.5074, 0.1278",14528
Br-4837,22,"CUYP, JACOB GERRITSZ. (Dutch)",A woman with carp,,Painting,,,Meads; from catalog: Meads,"Sold, 1.4 pounds",Morris; from catalog: Morris,,,,,,,1838 Jan 27,Christie's,"London, England","51.5074, 0.1278",14916
Br-4837,56,REMBRANDT HARMENSZ. VAN RIJN (Dutch),"Portrait of an old woman seated, holding a stick; painted with great force and character",,Painting,,,Weinen; from catalog: Weinen,"Bought In, 19.19 pounds",,,,,,,,1838 Jan 27,Christie's,"London, England","51.5074, 0.1278",14916
Br-4976,75,"MORLAND, GEORGE (British)","A sea-shore, with two men offerinf liquor to fish woman, who is preceded by a dog: capitally painted",,Painting,,,Linskill; from catalog: Linskill,"Bought In, 12.12 £",,,,,,,,1839 Feb 22,Christie's,"London, England","51.5074, 0.1278",15293
Br-4976,82,"DIETRICH, CHRISTIAN WILHELM ERNST (German)",An old woman with a glas of liquor; most powerfully and capitally painted,,Painting,,,Giles; from catalog: Giles,"Sold, 4.15 £",Bateman; from catalog: Bateman,,,,,,,1839 Feb 22,Christie's,"London, England","51.5074, 0.1278",15293
Br-4973,192,"POUSSIN, NICOLAS (French)",The woman of Samaria,,Painting,,,"Poniatowski, Prince; from catalog: Prince Poniatowski","Sold, 6",Norton; from catalog: Norton,,,,,,,1839 Feb 08 - 1839 Feb  9 (This Lot: Feb  9),Christie's,"London, England","51.5074, 0.1278",15281
Br-4974,29,"STEEN, JAN (Dutch)","A woman, with two children buying fish at a stall; richly coloured specimen",,Painting,,,"Bond, Robert; from catalog: Robert Bond, Esq","Sold, 3.3 £","Hayes, Mrs.; from catalog: Mrs Hayes",,,,,,,1839 Feb 15 - 1839 Feb 16 (This Lot: Feb 16),Christie's,"London, England","51.5074, 0.1278",15284
Br-4970,54,SAFTLEVEN (Dutch),"A Dutch farm, with cattle and sheep, and an old woman, with utensils in foreground",,Painting,,,Smith; from catalog: Smith,"Bought In, 5.0 £",,,,,,,,1839 Feb 02,Christie's,"London, England","51.5074, 0.1278",15275
Br-4967,72,FRANCKEN (Flemish),The woman taken into adultery,,Painting,,,Varley; from catalog: Varley,"Bought In, 3.8 £",,,,,,,,1839 Jan 26,Christie's,"London, England","51.5074, 0.1278",15267
Br-4967,81,OSTADE (Dutch),"Interior, with two boors and a woman seated round a table, a man playing the violin",,Painting,,,Varley; from catalog: Varley,"Bought In, 4.17 £",,,,,,,,1839 Jan 26,Christie's,"London, England","51.5074, 0.1278",15267
Br-4963,46,J. de Ploni,A man with a mouse-trap in conversation with a woman at a window; highly finished,,Painting,,,Marcott; from catalog: Marcott,"Sold, 2.5 £","Rutley, John Lewis; from catalog: Rutley",,,,,,,1839 Jan 19,Christie's,"London, England","51.5074, 0.1278",15259
Br-4963,76,"SLINGELAND, PIETER CORNELISZ. VAN (Dutch)","A woman scouring a kettle, and a boy in conversation with her; a lantern and utensils lying on the ground",,Painting,,,Marcott; from catalog: Marcott,"Sold, 4.16 £",Beach; from catalog: Beach,,,,,,,1839 Jan 19,Christie's,"London, England","51.5074, 0.1278",15259
Br-4957,29,"STOOP, DIRCK (Dutch)",A woman holding a horse,,Painting,,,Sala; from catalog: Sala,"Sold, 1.6 £",Becke; from catalog: Becke,,,,,,,1839 Jan 05,Christie's,"London, England","51.5074, 0.1278",15249
Br-4959,102,"POTTER, PAULUS (Dutch)","A landscape with cattle, and a woman milking",,Painting,,,Knapper; from catalog: Knapp,"Bought In, 0.16 £",,,,,,,,1839 Jan 12,Christie's,"London, England","51.5074, 0.1278",15253
Br-4586,23,"GOYEN, JAN JOSEPHSZ. VAN (Dutch)","View in Holland, with Cottages on the Banks of a River, a Boat with two men fishing, and near them a woman washing clothes.  Undoubtedly one of the finest, and most perfect specimens of this Master.  P[anel]",since sold by Tait the Nerch[?] axer[?] to Sir Gilbert Stirling Baronet who paid for this and the following £137.10 [VAL],Painting,"on panel, 27 x 12 1/2",,"Williams, Hugh; from catalog: Hugh Williams Esq","Unknown, 18.18 pounds",,The handwritten note refers to this and to the following lot by A. Cuyp.,,,"Tait, C.R.; Stirling, Gilbert, Sir, Bt.; from catalog: [Tait the Nerch[?] axer[?]] (Handwritten Annotation:  VAL); [Sir Gilbert Stirling Baronet] (Handwritten Annotation:  VAL)",,,1836 Apr 13,Wright (Francis),"Edinburgh, Scotland","55.953252,-3.188267",14299
Br-4586,24,"CUYP, AELBERT (Dutch)","Interior of a Rustic Cottage, hung round with numerous domestic articles; a Peasant sitting on a chair, is putting salt into a kettle, before putting it on the fire; an Old Woman, standing by, is giving directions; several domestic Fowls are feeding on the floor, one of which has just risen from a nest, in which she has evidently dropped an egg, and is shaking her feathers about the floor.  To the right is seen a dilapidated arched Brick Oven, such as was formerly used by the Low-German Boors, for baking black bread.  This is a splendid example of the Master; is finished in his very highest manner, and is marked with his initials, A. C.  The universality of Cuyp's genius is well known.  His vigilant attention to nature, under every guise and aspect, enabled him to excel in every thing he undertook.  In this most exquisite gem, for instance, however humble and unpromising the subject, he has managed to produce a work, fitted to adorn the collection of a prince. This was purchased by Mr. Hugh Williams, for the late Alex. Smith, Esq. Banker, Edinburgh.  P[anel]","bought by C R Tait auctioneer thun[...?] St Edin, since sold to Sir Gilbert Stirling Baronet. of Lasbert[?] & Kire [VAL]; [since sold by Tait the Nerch[?] axer[?] to Sir Gilbert Stirling Baronet who paid for this and the following £137.10] [VAL]",Painting,"on panel, 23 x 17",A. C. (marked),"Williams, Hugh; from catalog: Hugh Williams Esq","Sold, 76.0 pounds","Tait, C.R.; from catalog: C R Tait auctioneer thun[...?]  St Edin",The bracketed handwritten note appears in the previous lot by Goyen.,"Smith, Alexander (from Catalogue: late Alex. Smith, Esq. Banker, Edinburgh)",,"Stirling, Gilbert, Sir, Bt.; from catalog: [Sir Gilbert Stirling Baronet. of Lasbert[?] Stirling & Kire] (Handwritten Annotation:  VAL)",,,1836 Apr 13,Wright (Francis),"Edinburgh, Scotland","55.953252,-3.188267",14299
Br-4586,27,"BACKHUYSEN, LUDOLF (Dutch)","Sea View -- a Calm, supposed to be a View of Scheveling.  On the right of the picture, upon the rising ground, is a Group of Fishwomen with creels ready to convey away the fish.  A man on a Grey Horse, accompanied by two Dogs, is in the act of making a bargain with one of the Fishermen, (who is standing with his hands in his breast, listening indifferently,) either for the cargo of fish, or to convey a quantity of casks to one of the cruizers which are sailing about; the Man is referring to the Woman, supposed to be his wife, who is in her turn addressing the person on Horseback.  An Old Man, and a little Girl are drawing up a Basket containing provisions; a Waggon with two horses going towards the group, closes this side of the picture.  On the left are three Fishing Boats just come in, a number of figures close upon the sea, which is receding, are catching shrimps and sandeels.  In the front of the picture is a beautiful Sandy Beach; the day is serene and the sky full of warmth.  Its predominant tender tones are varied with the most beautiful gradations of tint that genius and art could blend together; the figures are admirably drawn, and the finishing throughout is of the most exquisite description.  This is a captivating picture and undoubtedly ranks in the very highest class of this great Master's works; it has been held by many to be the genuine production of Philip Wouwermans.  Also purchased for the late Mr. Alexander Smith, by Mr. H. Williams.  C[anvas]",,Painting,"on canvas, 56 x 38",,"Williams, Hugh; from catalog: Hugh Williams Esq",Passed,,,"Smith, Alexander (from Catalogue: late Mr. Alexander Smith)",,,,,1836 Apr 13,Wright (Francis),"Edinburgh, Scotland","55.953252,-3.188267",14299
Br-4747,41,RUISDAEL (Dutch),"A Landscape, with a pool of water under a rocky bank, surmounted by trees near a road, on which a peasant is driving sheep, and a woman and child are descending near a farmhouse encircled by trees.  This beautiful composition is illumined by a warm afternoon sun",,Painting,,,"Pringle, John, Sir; from catalog: Sir John Pringle Bart","Sold, 58.16 pounds",Norton; from catalog: Norton,,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4747,37,"VELDE, ADRIAEN VAN DE (Dutch)","A Landscape, with a peasant standing near a grey horse, and a woman with a distaff watching cattle and sheep under a lofty archway, through which is seen a mountainous distance; coloured in a beautifully warm tone",,Painting,,,"Pringle, John, Sir; from catalog: Sir John Pringle Bart","Sold, 22.1 pounds",Norton; from catalog: Norton,,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4747,32,"POELENBURGH, CORNELIS VAN (Dutch)","Christ with the Woman of Samaria at the Well, the Disciples in the background; the figures brilliantly coloured",,Painting,,,"Pringle, John, Sir; from catalog: Sir John Pringle Bart","Sold, 12.15 pounds","Fuller, Theobald; from catalog: Theobald Fuller",,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4741,44,"TENIERS, DAVID (THE YOUNGER) (Flemish)","Interior, with a peasant quarrelling with a woman, who is seated before a fire",,Painting,,,Zulueta; from catalog: Zulueta,"Sold, 1.3 pounds",Ryman; from catalog: Ryman,,,,,,,1837 May 05,Christie's,"London, England","51.5074, 0.1278",14699
Br-4742,10,"TOL, DOMENICUS VAN (Dutch)",An old woman at a window watering flowers,,Painting,,,Knapp; from catalog: Knapp,"Sold, 1.18 pounds","Rutley, John Lewis; from catalog: Rutley",,,,,,,1837 May 06,Christie's,"London, England","51.5074, 0.1278",14702
Br-4741,2,"TENIERS, DAVID (THE YOUNGER) (Flemish)",An old woman with onions,,Painting,,,Zulueta; from catalog: Zulueta,"Sold, 0.14 pounds",Duncan; from catalog: Duncan,,,,,,,1837 May 05,Christie's,"London, England","51.5074, 0.1278",14699
Br-4747,60,"MAES, NICOLAES (Dutch)","A Woman with a Basket of Fruit, in conversation with an elderly female; very powerfully painted",,Painting,,,,"Sold, 32.11 pounds","Dunford, James; from catalog: Dunford",,,,,,,1837 May 13,Christie's,"London, England","51.5074, 0.1278",14714
Br-4857,161,"METSU, GABRIEL (Dutch)","Interior, with a lady in a red corset, buying lemons of an old woman",,Painting,,,"Yates, George; from catalog: Yates","Bought In, 34 Gs",,,,,,,,1838 Mar 09 - 1838 Mar 10 (This Lot: Mar 10),Christie's,"London, England","51.5074, 0.1278",14970
Br-4857,149,REMBRANDT HARMENSZ. VAN RIJN (Dutch),Head of an old woman; very powerfully painted,,Painting,,,"Yates, George; from catalog: Yates","Bought In, 5",,,,,,,,1838 Mar 09 - 1838 Mar 10 (This Lot: Mar 10),Christie's,"London, England","51.5074, 0.1278",14970
